Gene name	Transcript stable ID	Chromosome/scaffold name	Transcript start (bp)	Transcript end (bp)
ALG9	ENST00000527294	11	111837543	111845391
STT3A	ENST00000527456	11	125603377	125606465
TSTA3	ENST00000527549	8	143614647	143617507
STT3A	ENST00000527606	11	125591712	125602889
TSTA3	ENST00000527677	8	143612621	143613391
ALG9	ENST00000527714	11	111840766	111857944
GAL3ST3	ENST00000527878	11	66042364	66045575
EXT2	ENST00000528159	11	44206865	44244301
LARGE2	ENST00000528236	11	45924150	45929096
ST3GAL3	ENST00000528371	1	43736263	43930221
ST3GAL4	ENST00000528605	11	126375020	126408804
B3GNT6	ENST00000528622	11	77034398	77039915
SULF1	ENST00000528783	8	69563442	69576027
ST3GAL4	ENST00000528858	11	126393228	126408496
TSTA3	ENST00000528920	8	143612618	143614385
NEU3	ENST00000529024	11	74988698	75018893
TSTA3	ENST00000529048	8	143613529	143617474
LARGE2	ENST00000529052	11	45921621	45929096
TSTA3	ENST00000529064	8	143612618	143617482
SULF1	ENST00000529134	8	69466987	69576051
ALG8	ENST00000529139	11	78112380	78121076
EXT2	ENST00000529186	11	44108015	44116839
STT3A	ENST00000529196	11	125592836	125620888
NAGK	ENST00000529236	2	71071791	71077605
FPGT	ENST00000529485	1	74198244	74204467
GANAB	ENST00000529737	11	62634824	62646623
STT3A	ENST00000529886	11	125594863	125602884
TSTA3	ENST00000529899	8	143615886	143617549
GALNT4	ENST00000529983	12	89519412	89524796
DPAGT1	ENST00000530052	11	119097960	119101023
GMDS	ENST00000530075	6	1959706	1960909
ST3GAL3	ENST00000530154	1	43707547	43920217
COG4	ENST00000530160	16	70512319	70523554
COG4	ENST00000530314	16	70480571	70523539
SMPD1	ENST00000530395	11	6390446	6392042
LARGE2	ENST00000530437	11	45926363	45929082
ALG8	ENST00000530454	11	78112704	78139622
GMDS	ENST00000530459	6	1930107	2043433
SLC35C1	ENST00000530471	11	45805149	45806336
TSTA3	ENST00000530474	8	143614364	143617511
ST3GAL3	ENST00000530581	1	43736263	43930221
ST3GAL4	ENST00000530591	11	126355894	126414047
ALG8	ENST00000530608	11	78100936	78113941
B4GALNT4	ENST00000530717	11	369796	372807
ALG9	ENST00000530723	11	111868634	111871283
ALG9	ENST00000530851	11	111809619	111868736
ALG8	ENST00000530910	11	78121137	78139258
GMDS	ENST00000530927	6	1623806	2175991
STT3A	ENST00000531001	11	125608148	125609736
TSTA3	ENST00000531006	8	143615943	143617552
SULF1	ENST00000531064	8	69564048	69589120
FUT6	ENST00000531085	19	5832361	5835077
ALG9	ENST00000531154	11	111786284	111870865
EXT2	ENST00000531161	11	44124869	44232450
FUT6	ENST00000531199	19	5832368	5838790
ST3GAL4	ENST00000531217	11	126355660	126414608
SMPD1	ENST00000531303	11	6390582	6394778
SMPD1	ENST00000531336	11	6393293	6394373
B3GAT3	ENST00000531383	11	62615297	62622154
ST3GAL3	ENST00000531451	1	43736263	43930202
TSTA3	ENST00000531473	8	143612618	143617504
STT3A	ENST00000531491	11	125592867	125620888
NEU3	ENST00000531509	11	74988279	75007084
B3GAT1	ENST00000531510	11	134383999	134409881
LARGE2	ENST00000531526	11	45921645	45929096
STT3A	ENST00000531599	11	125610709	125613140
NEU3	ENST00000531619	11	74988943	75005469
GMDS	ENST00000531690	6	1717595	1960790
B3GAT1	ENST00000531778	11	134378504	134387197
ST3GAL3	ENST00000531816	1	43736263	43930221
NAGK	ENST00000531934	2	71068308	71076662
ST3GAL3	ENST00000531993	1	43736263	43930221
ALG8	ENST00000532050	11	78113900	78139622
NEU1	ENST00000532196	CHR_HSCHR6_MHC_SSTO_CTG1	31852734	31854711
ST3GAL4	ENST00000532243	11	126406195	126414608
ALG8	ENST00000532306	11	78101061	78121163
TSTA3	ENST00000532308	8	143613770	143617532
SMPD1	ENST00000532367	11	6393518	6394128
GANAB	ENST00000532402	11	62624826	62646602
ALG9	ENST00000532425	11	111782195	111838305
ALG8	ENST00000532440	11	78106807	78114392
SLC35F2	ENST00000532513	11	107792659	107858767
ALG8	ENST00000532552	11	78101164	78139614
B3GAT3	ENST00000532585	11	62615451	62621984
SLC35A3	ENST00000532693	1	99970453	99999327
ST3GAL3	ENST00000532911	1	43705824	43838249
NEU3	ENST00000532963	11	74988934	75006834
SLC35A3	ENST00000533028	1	99969996	100035634
SMPD1	ENST00000533123	11	6390503	6394998
SULT1A2	ENST00000533150	16	28591943	28597047
SMPD1	ENST00000533196	11	6390440	6392056
ST3GAL3	ENST00000533212	1	43736263	43930221
B3GAT3	ENST00000533303	11	62616689	62617454
EXT2	ENST00000533608	11	44095678	44251981
SLC35F2	ENST00000533664	11	107792598	107858808
DPAGT1	ENST00000533687	11	119098074	119100916
TSTA3	ENST00000533817	8	143614322	143617300
ST3GAL4	ENST00000533826	11	126408450	126414554
ST3GAL3	ENST00000533933	1	43736320	43931141
NAGK	ENST00000533981	2	71068662	71072690
ST3GAL3	ENST00000533997	1	43707540	43930221
B3GAT3	ENST00000534026	11	62616067	62621984
EXT2	ENST00000534048	11	44130043	44198120
FPGT	ENST00000534056	1	74198267	74206223
ST3GAL4	ENST00000534083	11	126355974	126414575
SULT1A2	ENST00000534108	16	28591943	28596374
SULF1	ENST00000534179	8	69562808	69564144
SMPD1	ENST00000534405	11	6390473	6394991
LARGE2	ENST00000534410	11	45926451	45927938
GANAB	ENST00000534419	11	62634896	62646617
GANAB	ENST00000534422	11	62633028	62639467
ST3GAL4	ENST00000534452	11	126403218	126407349
ST3GAL4	ENST00000534457	11	126406460	126414047
STT3A	ENST00000534472	11	125592819	125609898
GANAB	ENST00000534613	11	62633057	62646616
NEU3	ENST00000534628	11	74988944	74995043
B3GAT3	ENST00000534715	11	62617005	62622146
COG4	ENST00000534772	16	70512273	70523200
GANAB	ENST00000534779	11	62625781	62646632
CMAS	ENST00000534981	12	22046225	22065674
COG2	ENST00000534989	1	230642811	230693981
MAN1B1	ENST00000535028	9	137103650	137109181
MAN1B1	ENST00000535144	9	137087080	137108142
B4GALT1	ENST00000535206	9	33104082	33167356
B3GNT4	ENST00000535274	12	122204600	122207537
GALNT8	ENST00000535354	12	4763968	4768476
B4GALNT3	ENST00000535402	12	552075	563498
EXTL2	ENST00000535414	1	100872372	100895179
CMAS	ENST00000535610	12	22046287	22062434
B4GALNT3	ENST00000535680	12	460470	546828
MPI	ENST00000535694	15	74890042	74898077
DAD1	ENST00000535847	14	22564907	22589220
CHPF	ENST00000535926	2	219538948	219543097
MAN1B1	ENST00000536268	9	137107170	137107806
MAN1B1	ENST00000536349	9	137102513	137109181
COG6	ENST00000536488	13	39659396	39687546
ST8SIA5	ENST00000536490	18	46679883	46756810
COG6	ENST00000537156	13	39679347	39687593
CMAS	ENST00000537658	12	22060642	22062413
SLC35B2	ENST00000537814	6	44254102	44257571
PIGQ	ENST00000537901	16	578060	578802
B3GNT4	ENST00000537991	12	122203746	122207062
ST8SIA5	ENST00000538168	18	46667821	46756809
ST8SIA1	ENST00000538256	12	22223272	22249046
B3GNT4	ENST00000538257	12	122203773	122207147
ABO	ENST00000538324	9	133255602	133275214
GALNT9	ENST00000538356	12	132201137	132206159
CMAS	ENST00000538498	12	22055119	22060906
SLC35B2	ENST00000538577	6	44254102	44257571
DAD1	ENST00000538631	14	22564908	22589157
ALG10	ENST00000538927	12	34022468	34029694
ST8SIA2	ENST00000539113	15	92394041	92464385
GNE	ENST00000539208	9	36217152	36258445
PIGB	ENST00000539642	15	55319251	55355432
CHST4	ENST00000539698	16	71526251	71538597
GNE	ENST00000539815	9	36214444	36249396
HAS1	ENST00000540069	19	51713112	51723994
GNS	ENST00000540196	12	64720051	64744890
PIGQ	ENST00000540241	16	579091	583223
PGM1	ENST00000540265	1	63593809	63660241
MAN1B1	ENST00000540346	9	137087358	137096351
MAN1B1	ENST00000540391	9	137103348	137109181
ARSL	ENST00000540563	X	2934632	2968310
GBGT1	ENST00000540636	9	133153402	133163914
EOGT	ENST00000540764	3	68977618	69009846
ST8SIA1	ENST00000540824	12	22201904	22336200
B4GALNT3	ENST00000540836	12	543118	545404
GANAB	ENST00000540933	11	62624832	62646726
EOGT	ENST00000540955	3	68977618	69009846
ALG10	ENST00000541178	12	34022473	34026152
GNS	ENST00000541781	12	64716609	64746238
ST8SIA1	ENST00000541868	12	22248826	22334163
ALG10	ENST00000541875	12	34022473	34027029
GALNT9	ENST00000541995	12	132197073	132205792
GNS	ENST00000542058	12	64716475	64759431
COG6	ENST00000542266	13	39655651	39659503
PIGA	ENST00000542278	X	15319455	15335429
MAN1B1	ENST00000542372	9	137087083	137097919
ST6GALNAC6	ENST00000542456	9	127885321	127897408
GALNT9	ENST00000542942	12	132203507	132205802
GALNT8	ENST00000542998	12	4763344	4851003
GALNT6	ENST00000543196	12	51351247	51383563
DAD1	ENST00000543337	14	22565004	22589222
GNE	ENST00000543356	9	36216943	36277042
SLC35C2	ENST00000543605	20	46345980	46364404
GNS	ENST00000543646	12	64716462	64759406
COG6	ENST00000543790	13	39655662	39659467
COG6	ENST00000543804	13	39655662	39677577
CHSY1	ENST00000543813	15	101177101	101235147
ALG1	ENST00000544428	16	5072248	5085057
MAN1B1	ENST00000544448	9	137086985	137108591
GALK2	ENST00000544523	15	49170282	49328561
B4GALNT3	ENST00000544638	12	540463	548301
ST8SIA1	ENST00000544732	12	22066419	22250787
GALC	ENST00000544807	14	87933723	87992838
PIGQ	ENST00000544860	16	577901	578843
MAN1B1	ENST00000545096	9	137087084	137088560
GNS	ENST00000545273	12	64739404	64752971
ST3GAL3	ENST00000545417	1	43707533	43931165
ST8SIA1	ENST00000545494	12	22201468	22268613
ARSL	ENST00000545496	X	2934811	2964284
ST8SIA1	ENST00000545524	12	22107275	22287194
MAN1B1	ENST00000545539	9	137087081	137096280
B3GNT4	ENST00000546192	12	122203681	122208945
CHST11	ENST00000546689	12	104457001	104602147
CHST11	ENST00000547956	12	104456968	104602279
ALG10B	ENST00000548240	12	38316839	38321327
B4GALNT1	ENST00000548487	12	57630997	57632943
B4GALNT1	ENST00000548888	12	57630152	57632668
CHST11	ENST00000549016	12	104588848	104757339
CHST11	ENST00000549260	12	104456971	104762014
B4GALNT1	ENST00000549391	12	57628167	57631087
MAN1B1	ENST00000550113	9	137107372	137108992
B4GALNT1	ENST00000550764	12	57629329	57633202
B4GALNT1	ENST00000550943	12	57631157	57632679
B4GALNT1	ENST00000551220	12	57631222	57633205
ALG10B	ENST00000551464	12	38316762	38323982
ARSA	ENST00000551731	22	50626591	50628170
B4GALNT1	ENST00000551925	12	57631128	57632680
B4GALNT1	ENST00000552219	12	57630507	57632649
B4GALNT1	ENST00000552350	12	57629344	57632668
B4GALNT1	ENST00000552468	12	57626172	57629365
B4GALNT1	ENST00000552798	12	57626476	57632655
ALG10B	ENST00000553138	12	38316767	38320450
B4GALNT1	ENST00000553142	12	57623410	57633151
GALNT16	ENST00000553471	14	69260174	69354466
GALNT16	ENST00000553669	14	69260291	69348092
GALNT16	ENST00000553740	14	69298541	69326025
POMT2	ENST00000553863	14	77299478	77306503
POMT2	ENST00000553880	14	77285281	77291367
GNPNAT1	ENST00000553987	14	52781741	52783485
GALT	ENST00000554085	9	34646677	34649022
GALT	ENST00000554139	9	34646652	34648381
GNPNAT1	ENST00000554230	14	52776557	52791510
GALNT16	ENST00000554317	14	69259642	69320843
GALT	ENST00000554330	9	34646789	34647849
GALC	ENST00000554372	14	87982205	87993172
GALT	ENST00000554550	9	34646636	34650529
POMT2	ENST00000554564	14	77280306	77284363
GALT	ENST00000554638	9	34646681	34650549
SLC35F4	ENST00000554729	14	57563978	57596897
FUT8	ENST00000554765	14	65636517	65721858
POMT2	ENST00000554767	14	77274958	77301163
POMT2	ENST00000554884	14	77284969	77287824
GALT	ENST00000554897	9	34646675	34648375
GALC	ENST00000554916	14	87976358	87989647
GALT	ENST00000554944	9	34646675	34648389
POMT2	ENST00000554948	14	77301222	77320340
GALC	ENST00000555000	14	87837820	87980648
GALT	ENST00000555020	9	34646675	34650282
GALT	ENST00000555086	9	34646782	34649130
POMT2	ENST00000555134	14	77278813	77285603
GALC	ENST00000555179	14	87934772	87949899
GALT	ENST00000555214	9	34646696	34648637
ST8SIA2	ENST00000555434	15	92394065	92464384
POMT2	ENST00000555675	14	77301089	77306490
GALT	ENST00000555754	9	34648425	34650588
GALNT16	ENST00000555920	14	69259642	69324742
GALC	ENST00000555956	14	87987752	87988523
GALT	ENST00000556157	9	34646900	34647762
POMT2	ENST00000556171	14	77278773	77283852
GALT	ENST00000556244	9	34647123	34648894
GALC	ENST00000556261	14	87981203	87988172
SLC35F4	ENST00000556306	14	57569863	57581335
POMT2	ENST00000556326	14	77299524	77320860
ST8SIA2	ENST00000556382	15	92434316	92445124
GALT	ENST00000556403	9	34646773	34647794
POMT2	ENST00000556404	14	77285567	77287209
GALT	ENST00000556494	9	34646806	34648512
GALNT16	ENST00000556677	14	69332522	69339623
SLC35F4	ENST00000556826	14	57563920	57866092
POMT2	ENST00000556851	14	77286748	77291493
GALC	ENST00000556879	14	87984441	87993122
POMT2	ENST00000556880	14	77302834	77306897
FUT8	ENST00000557164	14	65411874	65742936
SLC35F4	ENST00000557254	14	57564139	57596897
POMT2	ENST00000557289	14	77296164	77304746
GALC	ENST00000557316	14	87941395	87993170
SLC35F4	ENST00000557430	14	57594045	57799507
GALC	ENST00000557520	14	87959553	87965623
FUT8	ENST00000557536	14	65636516	65721912
GALT	ENST00000557541	9	34646645	34647905
GNPNAT1	ENST00000557604	14	52778375	52791668
POMT2	ENST00000557675	14	77285480	77296507
GALT	ENST00000557706	9	34646893	34650562
MAN2A2	ENST00000557865	15	90906850	90920076
MAN2A2	ENST00000557990	15	90912888	90919695
PIGH	ENST00000558001	14	67590127	67600282
GALK2	ENST00000558145	15	49170260	49235897
MAN2A2	ENST00000558161	15	90902926	90921191
MAN2A2	ENST00000558171	15	90910155	90912144
PIGH	ENST00000558198	14	67590037	67600265
MAN2A2	ENST00000558290	15	90902218	90905336
MAN2A2	ENST00000558374	15	90916527	90919966
GALK2	ENST00000558399	15	49283706	49367869
PIGH	ENST00000558493	14	67589993	67600132
MAN2A2	ENST00000558538	15	90915418	90919691
MAN2A2	ENST00000558640	15	90905980	90907381
GALK2	ENST00000558775	15	49155775	49239348
MAN2A2	ENST00000558853	15	90902275	90905270
GALK2	ENST00000558956	15	49170217	49239270
PIGH	ENST00000558987	14	67589714	67593918
GALK2	ENST00000559040	15	49155801	49226695
PIGH	ENST00000559097	14	67593254	67600286
PIGH	ENST00000559118	14	67589755	67592776
MAN2A2	ENST00000559132	15	90905379	90906858
GCNT3	ENST00000559189	15	59599677	59618500
GCNT3	ENST00000559200	15	59617939	59618697
GALK2	ENST00000559208	15	49170224	49283579
ARSD	ENST00000559324	X	2920676	2929339
MAN2A2	ENST00000559341	15	90915995	90919689
MAN2A2	ENST00000559374	15	90911396	90912950
CHSY1	ENST00000559384	15	101235509	101242617
PIGH	ENST00000559415	14	67592404	67600268
GLCE	ENST00000559420	15	69255794	69272217
GALK2	ENST00000559423	15	49170312	49283718
GALK2	ENST00000559454	15	49170478	49328503
GLCE	ENST00000559500	15	69260696	69268670
MAN2A2	ENST00000559558	15	90917652	90919698
GALK2	ENST00000559580	15	49292471	49367697
PIGH	ENST00000559581	14	67591809	67600267
MAN2A2	ENST00000559717	15	90903302	90922579
GALK2	ENST00000559883	15	49155656	49282067
GALK2	ENST00000559963	15	49155759	49239330
MAN2A2	ENST00000559965	15	90903744	90905346
CHST14	ENST00000559991	15	40471086	40473128
MAN2A2	ENST00000559999	15	90902377	90905479
GALK2	ENST00000560031	15	49170247	49331882
GALK2	ENST00000560119	15	49170260	49328529
GALK2	ENST00000560138	15	49170283	49292422
MAN2A2	ENST00000560147	15	90912880	90918297
MAN2A2	ENST00000560192	15	90903846	90911402
MAN2A2	ENST00000560451	15	90902695	90921191
GALK2	ENST00000560528	15	49319682	49328982
GCNT3	ENST00000560585	15	59611784	59620008
MAN2A2	ENST00000560616	15	90907388	90912212
GALK2	ENST00000560654	15	49155771	49239330
PIGH	ENST00000560722	14	67589806	67600268
CHSY1	ENST00000560766	15	101178577	101188025
MAN2A2	ENST00000560880	15	90916101	90918755
MAN2A2	ENST00000560926	15	90915995	90919865
GALK2	ENST00000561014	15	49239220	49319707
MAN2A2	ENST00000561046	15	90906453	90907519
MAN2A2	ENST00000561047	15	90911852	90913638
GALK2	ENST00000561074	15	49155794	49217297
PIGH	ENST00000561272	14	67581955	67600169
PIGH	ENST00000561303	14	67590112	67600246
CHSY1	ENST00000561414	15	101178602	101187870
MAN2A2	ENST00000561448	15	90912183	90920394
MPI	ENST00000561470	15	74890042	74896188
SULT1A3	ENST00000561533	16	30201073	30203959
SULT1A3	ENST00000561549	16	30201072	30203300
GALNS	ENST00000561812	16	88836241	88838922
COG7	ENST00000561854	16	23388776	23393318
PMM2	ENST00000562025	16	8842207	8848119
COG8	ENST00000562081	16	69332596	69339583
COG4	ENST00000562200	16	70509872	70523540
SULT1A3	ENST00000562257	16	30201061	30203077
PMM2	ENST00000562318	16	8797842	8848051
PMM2	ENST00000562448	16	8797842	8806679
GALNS	ENST00000562593	16	88813735	88845624
COG8	ENST00000562595	16	69321991	69339493
MPI	ENST00000562606	15	74890053	74896538
MPI	ENST00000562800	15	74890042	74897658
GALNS	ENST00000562831	16	88835755	88856575
GALNS	ENST00000562931	16	88832034	88837849
SULT1A3	ENST00000563322	16	30200729	30203920
MPI	ENST00000563422	15	74890042	74896930
SULT1A3	ENST00000563638	16	30201068	30204032
PIGB	ENST00000563742	15	55349519	55355647
HEXA	ENST00000563762	15	72345977	72375972
MPI	ENST00000563786	15	74890042	74898044
HEXA	ENST00000563908	15	72355444	72375969
MPI	ENST00000564003	15	74890042	74896955
PMM2	ENST00000564030	16	8797821	8807034
PMM2	ENST00000564069	16	8797912	8813067
COG4	ENST00000564415	16	70480568	70523558
MPI	ENST00000564633	15	74890042	74893230
COG4	ENST00000564653	16	70512267	70523550
MGAT5B	ENST00000565043	17	76872711	76949447
ARSB	ENST00000565165	5	78882882	78985249
PMM2	ENST00000565221	16	8797867	8848030
GALNS	ENST00000565364	16	88840335	88856842
PIGB	ENST00000565367	15	55318960	55355647
PIGB	ENST00000565402	15	55340373	55350830
PIGB	ENST00000565502	15	55340753	55355644
MPI	ENST00000565576	15	74890062	74893786
PMM2	ENST00000565896	16	8797842	8811667
PIGB	ENST00000566072	15	55319273	55327635
HAS3	ENST00000566118	16	69106609	69114397
PMM2	ENST00000566196	16	8797839	8802389
HEXA	ENST00000566304	15	72343926	72375993
COG7	ENST00000566364	16	23388641	23393581
MPI	ENST00000566377	15	74890039	74899441
PMM2	ENST00000566540	16	8797842	8848777
MPI	ENST00000566556	15	74895434	74898228
GALNS	ENST00000566563	16	88835729	88837889
PMM2	ENST00000566604	16	8797837	8848124
HEXA	ENST00000566672	15	72346132	72376003
PMM2	ENST00000566983	16	8788823	8847868
PIGB	ENST00000566999	15	55319245	55334007
HEXA	ENST00000567027	15	72345234	72375844
MPI	ENST00000567116	15	74890043	74892870
MPI	ENST00000567132	15	74890042	74893219
HEXA	ENST00000567159	15	72345411	72375993
MPI	ENST00000567177	15	74890550	74897957
HEXA	ENST00000567213	15	72369959	72375989
COG4	ENST00000567244	16	70497973	70501597
SULT1A3	ENST00000567309	16	30199228	30203422
HEXA	ENST00000567411	15	72343908	72376003
COG8	ENST00000567493	16	69335215	69338577
GALNS	ENST00000567525	16	88813736	88856826
MPI	ENST00000567570	15	74890072	74892733
PMM2	ENST00000567697	16	8807564	8849325
GALNS	ENST00000567779	16	88840698	88842045
COG7	ENST00000567821	16	23398046	23417293
ST3GAL2	ENST00000567822	16	70381574	70393759
HEXA	ENST00000568260	15	72351132	72375953
MPI	ENST00000568303	15	74890046	74890973
GALNS	ENST00000568311	16	88855128	88856970
PMM2	ENST00000568602	16	8797842	8811111
GALNS	ENST00000568613	16	88814323	88856826
HEXA	ENST00000568777	15	72345283	72360453
MPI	ENST00000568828	15	74890052	74893242
MPI	ENST00000568840	15	74890077	74893088
MPI	ENST00000568907	15	74890042	74893245
HAS3	ENST00000569188	16	69105653	69117660
MPI	ENST00000569233	15	74890042	74892781
SULT1A3	ENST00000569409	16	30200405	30201262
HEXA	ENST00000569410	15	72346235	72375975
GALNS	ENST00000569433	16	88855753	88856931
SULT1A3	ENST00000569485	16	30201057	30203680
HEXA	ENST00000569509	15	72350580	72376420
PIGB	ENST00000569823	15	55350741	55351873
MGAT5B	ENST00000569840	17	76868456	76950377
PIGB	ENST00000569909	15	55319232	55320030
MPI	ENST00000569931	15	74890005	74897092
PMM2	ENST00000569958	16	8797867	8848039
PIGB	ENST00000570059	15	55319232	55339289
PMM2	ENST00000570076	16	8797850	8848322
PMM2	ENST00000570134	16	8797838	8829258
GBA	ENST00000570340	CHR_HSCHR1_2_CTG31	155250336	155256103
SGSH	ENST00000570427	17	80214290	80220333
GBA	ENST00000570491	CHR_HSCHR1_2_CTG31	155255039	155260010
GAA	ENST00000570803	17	80101556	80107718
GBA	ENST00000570868	CHR_HSCHR1_2_CTG31	155253336	155254295
SGSH	ENST00000570923	17	80211534	80220338
SGSH	ENST00000571051	17	80214166	80220333
SGSH	ENST00000571075	17	80216723	80220333
SGSH	ENST00000571675	17	80214570	80220333
GBA	ENST00000571863	CHR_HSCHR1_2_CTG31	155251586	155254113
GBA	ENST00000571897	CHR_HSCHR1_2_CTG31	155249857	155251239
SGSH	ENST00000572208	17	80213832	80220331
SGSH	ENST00000572257	17	80207656	80214722
GBA	ENST00000572338	CHR_HSCHR1_2_CTG31	155249856	155256638
DSEL	ENST00000572659	CHR_HSCHR18_2_CTG2	67576031	67586429
CHST4	ENST00000572693	16	71536586	71537918
SGSH	ENST00000573150	17	80209290	80220360
GBA	ENST00000573812	CHR_HSCHR1_2_CTG31	155251800	155255366
GBA	ENST00000573998	CHR_HSCHR1_2_CTG31	155252745	155255366
CTNS	ENST00000574218	17	3636762	3656551
SGSH	ENST00000574505	17	80213821	80220258
GBA	ENST00000574670	CHR_HSCHR1_2_CTG31	155249856	155260074
CTNS	ENST00000574776	17	3636729	3661037
GBA	ENST00000574935	CHR_HSCHR1_2_CTG31	155250365	155251863
SGSH	ENST00000575188	17	80214855	80220333
SGSH	ENST00000575282	17	80209282	80220322
GBA	ENST00000575321	CHR_HSCHR1_2_CTG31	155253617	155260040
XYLT1	ENST00000575674	16	17198031	17259028
GBA	ENST00000576421	CHR_HSCHR1_2_CTG31	155250420	155256635
SGSH	ENST00000576707	17	80214243	80220923
GBA	ENST00000576759	CHR_HSCHR1_2_CTG31	155253968	155260026
SGSH	ENST00000576856	17	80210397	80212218
SGSH	ENST00000576941	17	80212205	80220333
CTNS	ENST00000576979	17	3640147	3656513
GAA	ENST00000577106	17	80101587	80105828
B4GALT6	ENST00000578114	18	31622247	31658464
RFNG	ENST00000578356	17	82050415	82051573
HS3ST3A1	ENST00000578576	17	13496170	13556043
RFNG	ENST00000578676	17	82048445	82051335
B4GALT6	ENST00000579372	18	31657975	31685836
CHST9	ENST00000580774	18	26915779	27185298
RFNG	ENST00000580793	17	82047902	82050514
RFNG	ENST00000580928	17	82049793	82050759
RFNG	ENST00000580953	17	82047906	82051562
CHST9	ENST00000581714	18	26915777	27143038
RFNG	ENST00000582478	17	82047902	82051831
COG1	ENST00000582587	17	73193093	73197081
RFNG	ENST00000583784	17	82047902	82050787
RFNG	ENST00000584463	17	82050455	82051407
RFNG	ENST00000584515	17	82049907	82051586
RFNG	ENST00000584838	17	82048749	82050990
ST6GALNAC2	ENST00000585390	17	76566106	76570633
ST6GALNAC1	ENST00000585633	17	76625125	76626391
FUT3	ENST00000585715	19	5844707	5847034
ST6GALNAC2	ENST00000585736	17	76573342	76586030
GPI	ENST00000586077	19	34397283	34400335
GALK1	ENST00000586244	17	75762758	75765192
ST8SIA3	ENST00000586360	18	57357152	57371731
GPI	ENST00000586392	19	34393267	34400327
GPI	ENST00000586425	19	34365379	34400267
NAGLU	ENST00000586516	17	42536523	42541093
ST6GALNAC2	ENST00000586520	17	76570898	76585857
GALK1	ENST00000586733	17	75757972	75758518
ALG1	ENST00000586840	16	5071822	5077469
FUT3	ENST00000587048	19	5844540	5848905
GPI	ENST00000587384	19	34359587	34368602
ST8SIA5	ENST00000587428	18	46680368	46688981
GPI	ENST00000587521	19	34359480	34366802
GALK1	ENST00000587707	17	75758512	75764005
ST6GALNAC2	ENST00000588005	17	76570910	76586956
ST6GALNAC2	ENST00000588120	17	76570579	76585856
ST8SIA5	ENST00000588155	18	46691450	46756810
ST6GALNAC1	ENST00000588375	17	76625648	76627112
GALK1	ENST00000588479	17	75757894	75765192
FUT5	ENST00000588525	19	5865826	5870540
ALG1	ENST00000588623	16	5033960	5085390
ST6GALNAC2	ENST00000588920	17	76566133	76573349
GPI	ENST00000588991	19	34364793	34400245
ST6GALNAC1	ENST00000589004	17	76626006	76629234
GALK1	ENST00000589030	17	75763383	75765133
ST8SIA5	ENST00000589088	18	46685869	46688917
GALNT1	ENST00000589189	18	35627429	35710292
GPI	ENST00000589399	19	34365196	34379554
GPI	ENST00000589504	19	34364999	34368808
FUT3	ENST00000589620	19	5842891	5851474
GPI	ENST00000589640	19	34365196	34377832
FUT3	ENST00000589714	19	5844519	5851449
ST6GALNAC1	ENST00000589813	17	76629395	76643660
FUT3	ENST00000589918	19	5842891	5851471
GPI	ENST00000589985	19	34392196	34396656
ST6GALNAC1	ENST00000589992	17	76637471	76643660
NAGLU	ENST00000590358	17	42536938	42538364
GPI	ENST00000590375	19	34365022	34377578
ST8SIA5	ENST00000590497	18	46679243	46731763
GALNT1	ENST00000590654	18	35654656	35709780
ST6GALNAC1	ENST00000590784	17	76625850	76627167
ST6GALNAC1	ENST00000590878	17	76627098	76643774
ST6GALNAC1	ENST00000590915	17	76633595	76643757
GALNT1	ENST00000591081	18	35654572	35664517
GPI	ENST00000591204	19	34365196	34377856
CHST8	ENST00000591231	19	33621955	33772323
ST8SIA5	ENST00000591375	18	46688884	46759142
HS2ST1	ENST00000591456	1	86956484	87092588
NAGLU	ENST00000591587	17	42536530	42544161
ALG1	ENST00000591783	16	5072205	5078852
ALG1	ENST00000591822	16	5071849	5085018
GALNT1	ENST00000591924	18	35581740	35663804
ST6GALNAC1	ENST00000592042	17	76624761	76643786
GPI	ENST00000592144	19	34364992	34377820
GPI	ENST00000592277	19	34359734	34368621
NAGLU	ENST00000592454	17	42541091	42543549
GALK1	ENST00000592494	17	75758591	75765157
FUT6	ENST00000592563	19	5831378	5832567
ALG1	ENST00000592793	16	5071843	5073428
ST6GALNAC2	ENST00000592979	17	76568717	76571142
GALK1	ENST00000592997	17	75757894	75763090
MAN2B1	ENST00000593686	19	12652255	12657474
HAS1	ENST00000594621	19	51713892	51719469
B3GNT3	ENST00000595387	19	17795157	17812233
SLC35E1	ENST00000595753	19	16549837	16572415
MAN2B1	ENST00000595880	19	12652199	12657379
MAN2B1	ENST00000596512	19	12664804	12666742
MAN2B1	ENST00000598876	19	12664933	12666736
B3GNT3	ENST00000599265	19	17794828	17811753
MAN2B1	ENST00000600281	19	12665246	12666742
SLC35E1	ENST00000600356	19	16553389	16564255
B3GNT3	ENST00000600777	19	17795136	17808189
B3GNT8	ENST00000601379	19	41426056	41427362
HAS1	ENST00000601667	19	51713892	51719263
HAS1	ENST00000601714	19	51713112	51719941
DDOST	ENST00000602624	1	20651777	20661391
NAAA	ENST00000602782	4	75916438	75936230
ALG6	ENST00000603108	1	63367581	63437182
GALNT6	ENST00000603188	12	51379594	51391434
GALNT6	ENST00000603563	12	51379616	51391299
GALNT6	ENST00000603641	12	51354271	51379781
GALNT6	ENST00000603680	12	51353769	51360226
GALNT6	ENST00000604381	12	51379370	51391652
